
Location		Count
tcm:189-2236			1
tcm:255-1905			1
tcm:173-2606			1
tcm:447-5906			1
tcm:376-3578			1
tcm:659-2057			1
tcm:565-1317			1
tcm:883-5487			1
tcm:791-6156			1
tcm:399-9215			1
tcm:183-1183			1
tcm:149-5118			1
tcm:569-3308			1
tcm:342-5732			1
tcm:395-7357			1
tcm:266-2514			1
tcm:847-5410			1
tcm:146-6490			1
tcm:670-4626			1
tcm:954-7708			1
tcm:956-6942			1
tcm:851-1816			1
tcm:419-5224			1
tcm:901-8350			1
tcm:254-3547			1
tcm:423-7984			1
tcm:907-2010			1
tcm:380-1012			1
tcm:833-8561			1
tcm:312-8455			1
tcm:115-4917			1
tcm:870-6972			1
tcm:784-3988			1
tcm:930-7127			1
tcm:142-2093			1
tcm:695-3428			1
tcm:666-5978			1
tcm:893-1775			1
tcm:872-4856			1
tcm:195-8890			1
tcm:648-2796			1
tcm:941-9060			1
tcm:698-8037			1
tcm:250-1660			1
tcm:378-2777			1
tcm:294-9022			1
tcm:477-6660			1
tcm:909-9867			1
tcm:120-5751			1
tcm:765-8525			1
tcm:230-4274			1
tcm:830-9854			1
tcm:980-6642			1
tcm:939-4543			1
tcm:824-3209			1
tcm:227-9966			1
tcm:754-6838			1
tcm:788-5929			1
tcm:890-5489			1
tcm:581-4071			1
tcm:290-9713			1
tcm:573-4794			1
tcm:686-6845			1
tcm:413-5360			1
tcm:909-8507			1
tcm:660-7036			1
tcm:553-1092			1
tcm:849-4475			1
tcm:273-3862			1
tcm:301-7841			1
Tom/got/a/small/piece/of/pie.			115
tcm:627-8194			1
tcm:836-2232			1
tcm:378-8891			1
tcm:408-8196			1
tcm:561-3122			1
tcm:930-3588			1
tcm:868-8289			1
tcm:517-9805			1
tcm:493-4462			1
tcm:900-5156			1
tcm:832-6460			1
tcm:118-3673			1
tcm:467-9084			1
tcm:306-9084			1
tcm:842-6206			1
tcm:311-8909			1
tcm:841-5627			1
tcm:668-1099			1
tcm:376-3531			1
tcm:892-5930			1
tcm:797-6038			1
tcm:204-6647			1
tcm:449-3831			1
tcm:835-2718			1
tcm:359-1113			1
tcm:331-1232			1
tcm:364-5811			1
tcm:785-8313			1
tcm:377-6738			1
tcm:593-6934			1
tcm:346-2609			1
tcm:110-8156			1
tcm:927-5548			1
tcm:483-2047			1
tcm:386-5933			1
tcm:994-7035			1
tcm:244-9716			1
tcm:109-9378			1
tcm:383-9673			1
tcm:561-3141			1
tcm:644-4395			1
tcm:557-9131			1
tcm:599-1909			1
tcm:763-9343			1
tcm:240-1873			1
tcm:860-3260			1
tcm:639-7191			1
tcm:393-3299			1
tcm:676-4420			1
tcm:217-6252			1
tcm:286-2114			1
tcm:630-1360			1
tcm:258-7909			1
tcm:550-1279			1
tcm:728-7919			1
tcm:621-8518			1
tcm:505-4682			1
tcm:340-6598			1
tcm:959-6946			1
tcm:502-3572			1
tcm:526-6373			1
tcm:142-9599			1
tcm:342-4463			1
tcm:185-1612			1
tcm:355-5398			1
tcm:843-8390			1
tcm:837-1904			1
tcm:978-9431			1
tcm:110-5936			1
tcm:784-8814			1
tcm:368-2957			1
tcm:857-5214			1
tcm:783-9100			1
tcm:902-4130			1
tcm:166-8801			1
tcm:181-5884			1
tcm:377-4122			1
tcm:838-2788			1
tcm:260-6245			1
tcm:841-6909			1
tcm:832-6426			1
tcm:591-7767			1
tcm:122-8477			1
tcm:357-4585			1
tcm:207-1631			1
tcm:257-9533			1
tcm:270-8641			1
tcm:601-7424			1
tcm:735-2875			1
tcm:456-7159			1
tcm:306-6845			1
tcm:323-9001			1
tcm:921-9475			1
tcm:795-9414			1
tcm:536-7492			1
tcm:924-5725			1
tcm:472-1448			1
tcm:393-9405			1
tcm:321-1461			1
tcm:529-3987			1
tcm:426-1663			1
She/works/two/jobs/to/make/ends/meet;/at/least,/that/was/her/reason/for/not/having/time/to/join/us.			139
tcm:399-5725			1
tcm:692-9768			1
tcm:615-6937			1
tcm:550-2574			1
tcm:341-4928			1
tcm:506-1744			1
tcm:975-4596			1
tcm:931-9232			1
tcm:534-9591			1
tcm:715-9036			1
tcm:132-9575			1
tcm:156-6417			1
tcm:461-9429			1
tcm:239-8990			1
tcm:243-1677			1
tcm:935-6100			1
tcm:723-2564			1
tcm:878-9582			1
tcm:116-3194			1
tcm:987-2229			1
tcm:551-3197			1
tcm:902-4102			1
tcm:400-6907			1
tcm:975-5815			1
tcm:293-5935			1
tcm:413-7940			1
tcm:220-6893			1
tcm:731-9349			1
tcm:315-4852			1
tcm:458-6505			1
tcm:425-6969			1
tcm:247-4749			1
tcm:655-1319			1
tcm:588-2384			1
tcm:361-8098			1
tcm:895-5823			1
tcm:442-6735			1
tcm:543-1158			1
tcm:803-1624			1
tcm:430-6639			1
tcm:142-9381			1
tcm:456-8476			1
tcm:718-1776			1
tcm:817-5787			1
tcm:778-2039			1
tcm:138-4665			1
tcm:328-5643			1
tcm:241-7401			1
tcm:702-9497			1
tcm:198-6048			1
tcm:152-3244			1
tcm:915-4036			1
tcm:387-4122			1
tcm:347-9454			1
tcm:145-9475			1
tcm:472-7758			1
tcm:810-6460			1
tcm:665-8816			1
tcm:344-3411			1
tcm:102-8920			1
tcm:497-6285			1
tcm:914-3379			1
tcm:673-4416			1
tcm:159-1275			1
tcm:181-4435			1
tcm:832-2846			1
tcm:607-8604			1
tcm:546-2542			1
tcm:271-9536			1
tcm:612-3075			1
tcm:816-2670			1
tcm:740-2505			1
tcm:315-3534			1
tcm:606-7702			1
tcm:217-3946			1
tcm:278-8896			1
tcm:381-9015			1
tcm:883-9066			1
tcm:633-7588			1
tcm:417-2366			1
tcm:588-1000			1
tcm:259-3799			1
tcm:945-7486			1
tcm:588-1008			1
tcm:650-7137			1
tcm:916-7378			1
tcm:719-3988			1
tcm:688-7061			1
tcm:220-4270			1
tcm:958-4920			1
tcm:634-4710			1
tcm:963-5510			1
tcm:501-1304			1
tcm:288-1484			1
tcm:639-3779			1
tcm:812-1885			1
tcm:660-3676			1
tcm:570-9584			1
tcm:268-5306			1
tcm:778-5989			1
tcm:259-3788			1
tcm:595-7148			1
tcm:440-6467			1
tcm:756-8099			1
tcm:942-2742			1
tcm:855-2398			1
The/book/is/in/front/of/the/table.			109
tcm:520-5131			1
tcm:660-2354			1
tcm:806-8771			1
tcm:928-5047			1
tcm:520-6465			1
tcm:659-8030			1
tcm:105-3727			1
tcm:782-3445			1
tcm:864-5212			1
tcm:436-2681			1
tcm:216-1926			1
tcm:110-4798			1
This/is/a/Japanese/doll.			125
tcm:916-6069			1
tcm:829-3421			1
tcm:580-4559			1
tcm:369-3622			1
tcm:166-3882			1
tcm:424-7188			1
tcm:758-8704			1
tcm:149-2990			1
tcm:936-8108			1
tcm:383-2284			1
tcm:538-5417			1
tcm:421-1355			1
tcm:883-9025			1
tcm:471-4488			1
tcm:778-4671			1
tcm:920-7256			1
tcm:445-5508			1
tcm:644-3020			1
tcm:498-9567			1
tcm:760-7081			1
tcm:940-8444			1
tcm:650-8452			1
tcm:596-4307			1
tcm:487-6652			1
I/will/never/be/this/young/again./Ever./Oh/damn…/I/just/got/older.			116
tcm:404-1537			1
tcm:525-9061			1
tcm:621-8583			1
tcm:534-2201			1
tcm:881-7453			1
tcm:547-6998			1
tcm:788-9554			1
tcm:431-9739			1
tcm:404-2866			1
tcm:535-5374			1
tcm:357-5976			1
tcm:571-6954			1
tcm:141-1425			1
tcm:266-3702			1
tcm:343-7543			1
tcm:876-5540			1
tcm:950-4501			1
tcm:132-2037			1
tcm:650-2281			1
tcm:469-8336			1
tcm:213-4274			1
tcm:543-2418			1
tcm:182-1882			1
tcm:893-7724			1
tcm:451-4516			1
tcm:762-2433			1
tcm:670-5866			1
tcm:268-6673			1
tcm:670-5867			1
tcm:189-9575			1
tcm:108-7363			1
tcm:676-8016			1
tcm:354-9425			1
tcm:143-6575			1
tcm:347-4627			1
tcm:738-5104			1
tcm:303-3250			1
tcm:612-4317			1
tcm:311-5190			1
tcm:838-6396			1
tcm:657-6852			1
tcm:644-6901			1
tcm:601-3892			1
tcm:187-5763			1
tcm:492-9869			1
tcm:209-5507			1
tcm:115-6064			1
tcm:424-8445			1
tcm:447-9340			1
tcm:527-8464			1
tcm:660-1061			1
tcm:647-6878			1
tcm:860-9587			1
tcm:268-7992			1
tcm:120-5693			1
tcm:843-2021			1
tcm:217-1346			1
tcm:491-6730			1
tcm:597-2599			1
tcm:549-9636			1
tcm:722-5561			1
tcm:681-1533			1
tcm:807-2254			1
tcm:505-8061			1
tcm:263-8630			1
tcm:726-3961			1
tcm:385-1247			1
tcm:580-3278			1
tcm:735-6592			1
tcm:183-7330			1
tcm:326-5344			1
tcm:242-9252			1
tcm:269-7384			1
tcm:929-8163			1
tcm:401-6339			1
tcm:641-9579			1
tcm:395-2537			1
tcm:362-5283			1
tcm:483-8263			1
tcm:953-8181			1
tcm:518-5509			1
tcm:253-6476			1
tcm:604-8724			1
tcm:589-4352			1
tcm:374-4269			1
tcm:509-5100			1
tcm:424-9790			1
tcm:257-2121			1
tcm:799-1713			1
tcm:831-5695			1
tcm:540-2817			1
tcm:518-5517			1
tcm:394-5442			1
tcm:863-5609			1
tcm:943-8085			1
tcm:955-3529			1
tcm:356-8542			1
tcm:343-7501			1
tcm:154-3516			1
tcm:693-4138			1
tcm:650-9712			1
tcm:590-3262			1
tcm:502-8463			1
tcm:437-9469			1
The/shooter/says/goodbye/to/his/love.			81
tcm:105-9974			1
tcm:385-1219			1
tcm:416-6551			1
tcm:173-7340			1
tcm:119-6972			1
tcm:266-8591			1
tcm:476-2114			1
tcm:599-5545			1
tcm:499-6995			1
tcm:336-5017			1
tcm:541-2203			1
tcm:309-1886			1
tcm:310-5834			1
tcm:795-4678			1
tcm:832-1539			1
tcm:607-8662			1
tcm:524-3496			1
tcm:259-3704			1
tcm:964-5106			1
tcm:993-2742			1
tcm:437-8147			1
tcm:176-6096			1
tcm:587-7855			1
tcm:612-4348			1
tcm:103-9682			1
tcm:449-8778			1
tcm:918-7607			1
tcm:159-2562			1
tcm:446-8832			1
tcm:235-3124			1
tcm:621-3722			1
tcm:237-2244			1
tcm:973-9062			1
tcm:184-8068			1
tcm:393-5835			1
tcm:530-2921			1
She/did/not/cheat/on/the/test,/for/it/was/not/the/right/thing/to/do.			110
tcm:727-2036			1
tcm:426-6557			1
tcm:165-4252			1
tcm:536-2487			1
tcm:652-7814			1
tcm:870-9169			1
tcm:693-5492			1
tcm:216-1999			1
tcm:288-7632			1
tcm:953-5964			1
tcm:184-8055			1
tcm:729-4865			1
tcm:502-9760			1
tcm:965-7191			1
tcm:293-3347			1
tcm:875-4619			1
tcm:417-7182			1
tcm:828-7663			1
tcm:819-2520			1
tcm:761-1915			1
tcm:346-6346			1
tcm:368-6505			1
tcm:259-7314			1
tcm:646-1069			1
tcm:440-7802			1
tcm:495-6003			1
tcm:185-1534			1
tcm:608-5754			1
tcm:627-8239			1
tcm:678-3537			1
tcm:236-2868			1
tcm:836-2199			1
tcm:309-5408			1
tcm:812-5474			1
tcm:195-8954			1
tcm:405-8273			1
tcm:651-5575			1
tcm:840-2462			1
tcm:816-6130			1
tcm:630-7604			1
tcm:305-2205			1
tcm:325-9281			1
tcm:995-4477			1
tcm:143-2918			1
tcm:463-8388			1
tcm:963-4196			1
tcm:753-9663			1
tcm:613-8918			1
tcm:720-6146			1
tcm:749-9356			1
tcm:212-4943			1
tcm:100-3453			1
tcm:978-3118			1
tcm:615-9201			1
tcm:192-8984			1
tcm:542-4129			1
tcm:595-9811			1
tcm:582-1028			1
tcm:367-5516			1
tcm:534-7003			1
tcm:466-9662			1
tcm:821-7017			1
tcm:299-4635			1
tcm:681-5140			1
tcm:697-7335			1
tcm:347-3359			1
tcm:480-8245			1
tcm:203-9453			1
tcm:531-9686			1
tcm:327-8610			1
tcm:776-4432			1
tcm:557-5744			1
tcm:275-7970			1
tcm:352-4388			1
tcm:104-5301			1
tcm:259-6002			1
tcm:602-9619			1
tcm:117-7556			1
tcm:978-5772			1
tcm:530-5153			1
tcm:839-2132			1
tcm:412-2062			1
tcm:650-3645			1
How/was/the/math/test?			114
tcm:208-3653			1
tcm:503-6835			1
tcm:971-5141			1
tcm:419-5312			1
tcm:289-8218			1
tcm:828-6370			1
tcm:968-5819			1
tcm:697-7322			1
tcm:920-3652			1
tcm:554-4369			1
tcm:733-2634			1
tcm:536-3888			1
tcm:667-5100			1
tcm:662-1353			1
tcm:996-7668			1
tcm:257-8391			1
tcm:678-7097			1
tcm:414-1414			1
tcm:579-4270			1
tcm:216-6835			1
tcm:643-9808			1
We/have/a/lot/of/rain/in/June.			123
tcm:526-2971			1
tcm:802-3216			1
tcm:891-6148			1
tcm:941-6926			1
tcm:648-2640			1
tcm:744-1937			1
tcm:457-3267			1
tcm:419-5361			1
tcm:506-1692			1
tcm:930-9892			1
tcm:594-2625			1
tcm:561-5624			1
tcm:411-2798			1
tcm:672-8719			1
tcm:619-1578			1
tcm:379-8066			1
tcm:613-1497			1
